T_air,sol_dir,sol_diff
2.3,0,0
2.3,0,0
2.7,0,2
2.9,17,38
3.9,115,88
5.3,193,122
6.4,233,140
6.8,215,151
6.4,114,178
6.9,131,129
6.1,94,85
4.8,22,36
3.2,0,0
2.7,0,0
2.0,0,0
1.3,0,0
1.5,0,0
1.3,0,0
0.6,0,0
-0.4,0,0
-1.0,0,0
-0.4,0,0
0.5,0,0
0.7,0,0
1.0,0,0
1.3,0,0
1.3,0,0
1.5,0,17
2.1,0,53
3.2,0,51
4.2,0,47
5.0,0,43
6.2,0,36
7.5,0,34
9.0,0,24
9.7,0,10
9.3,0,0
9.1,0,0
7.1,0,0
6.3,0,0
5.2,0,0
5.0,0,0
4.6,0,0
4.5,0,0
4.1,0,0
3.3,0,0
2.9,0,0
3.4,0,0
3.1,0,0
3.1,0,0
2.8,0,2
3.3,0,32
3.0,0,52
2.5,0,54
2.5,0,55
3.1,0,64
3.1,0,56
0.6,0,54
1.7,10,81
2.1,2,32
1.9,0,0
1.2,0,0
0.9,0,0
0.6,0,0
0.5,0,0
0.0,0,0
-0.5,0,0
-1.3,0,0
-1.9,0,0
-2.4,0,0
-2.5,0,0
-2.3,0,0
-2.3,0,0
-2.2,0,0
-2.2,0,3
-2.1,6,49
-1.6,18,120
-0.9,14,157
-0.5,0,110
-0.3,0,79
-0.2,0,58
-0.3,0,72
-0.3,0,44
-0.7,0,18
-0.8,0,0
-1.3,0,0
-1.5,0,0
-1.5,0,0
-1.9,0,0
-2.1,0,0
-2.1,0,0
-2.3,0,0
-2.6,0,0
-3.0,0,0
-4.6,0,0
-5.3,0,0
-5.7,0,0
-5.9,0,0
-6.2,0,6
-5.6,28,45
-3.2,49,102
-1.1,104,141
0.4,207,137
2.5,197,155
2.6,129,169
3.3,66,149
2.9,24,101
2.3,0,37
1.5,0,2
1.2,0,0
0.9,0,0
0.8,0,0
0.9,0,0
1.1,0,0
1.3,0,0
1.2,0,0
1.1,0,0
0.4,0,0
0.2,0,0
0.4,0,0
0.6,0,0
0.8,0,0
0.8,0,0
1.2,0,15
1.4,0,31
0.9,0,84
1.2,10,124
1.3,0,115
2.3,0,91
2.8,0,70
3.6,0,67
2.1,0,16
1.7,0,0
1.5,0,0
0.6,0,0
0.9,0,0
0.3,0,0
-0.2,0,0
0.1,0,0
0.3,0,0
0.3,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.4,0,0
0.2,0,0
-0.7,0,4
-0.4,13,44
-0.3,16,94
-0.4,69,136
-0.3,116,153
-0.6,11,156
-0.1,74,160
-0.2,31,136
